timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-02-15T00:00:00.000Z";"2025-02-15T23:59:59.999Z";"2025-02-15T03:13:00.000Z";"2025-02-15T00:33:00.000Z";"2781";97508.3827694604;97975.0372487157;97240.197119082;97580.3493821008;17047266288.41;1934520637924.95;"2025-02-15T23:59:59.999Z"
"2025-02-14T00:00:00.000Z";"2025-02-14T23:59:59.999Z";"2025-02-14T17:58:00.000Z";"2025-02-14T15:19:00.000Z";"2781";96623.3708675579;98819.468963167;96342.8060263559;97508.9699033175;32697987276.92;1932948924495.69;"2025-02-14T23:59:59.999Z"
"2025-02-13T00:00:00.000Z";"2025-02-13T23:59:59.999Z";"2025-02-13T01:55:00.000Z";"2025-02-13T16:58:00.000Z";"2781";97888.7464885097;98111.0874246068;95269.7078995683;96623.8690084382;37147280859.99;1915447210572.84;"2025-02-13T23:59:59.999Z"
"2025-02-12T00:00:00.000Z";"2025-02-12T23:59:59.999Z";"2025-02-12T22:40:00.000Z";"2025-02-12T13:42:00.000Z";"2781";95745.6944569594;98151.0269256076;94101.2033270052;97885.8630551901;49340445529.78;1940242365476.66;"2025-02-12T23:59:59.999Z"
"2025-02-11T00:00:00.000Z";"2025-02-11T23:59:59.999Z";"2025-02-11T05:57:00.000Z";"2025-02-11T19:42:00.000Z";"2781";97438.1312083266;98492.9012816126;94875.0388502221;95747.4311295895;37488783271.89;1897964794815.03;"2025-02-11T23:59:59.999Z"
"2025-02-10T00:00:00.000Z";"2025-02-10T23:59:59.999Z";"2025-02-10T14:01:00.000Z";"2025-02-10T01:46:00.000Z";"2781";96499.4620926385;98333.2200725747;95320.8420255399;97437.5572620868;40078962390.78;1931740792090.75;"2025-02-10T23:59:59.999Z"
"2025-02-09T00:00:00.000Z";"2025-02-09T23:59:59.999Z";"2025-02-09T04:01:00.000Z";"2025-02-09T21:54:00.000Z";"2781";96481.315261394;97325.2820426549;94745.2612271789;96500.0947902698;27732901800.43;1912827391516.37;"2025-02-09T23:59:59.999Z"
"2025-02-08T00:00:00.000Z";"2025-02-08T23:59:59.999Z";"2025-02-08T03:09:00.000Z";"2025-02-08T15:31:00.000Z";"2781";96533.2608441032;96877.8073359892;95702.4923701161;96482.4498744429;22447526395.12;1912426186151.71;"2025-02-08T23:59:59.999Z"
"2025-02-07T00:00:00.000Z";"2025-02-07T23:59:59.999Z";"2025-02-07T14:51:00.000Z";"2025-02-07T22:34:00.000Z";"2781";96581.3172874407;100154.143334761;95653.8866516577;96529.082494532;55741290456.48;1913405359442.93;"2025-02-07T23:59:59.999Z"
"2025-02-06T00:00:00.000Z";"2025-02-06T23:59:59.999Z";"2025-02-06T11:51:00.000Z";"2025-02-06T19:50:00.000Z";"2781";96610.6402284928;99168.6060063579;95707.3499191183;96593.3003285625;45302471947.11;1914349686277.64;"2025-02-06T23:59:59.999Z"
